aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Euphorbiaceae,APC,https://id.biodiversity.org.au/taxon/apni/51442249,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51442249,Euphorbiaceae,Juss.,Familia,accepted,Euphorbiaceae,Magnoliidae,"WA (native and naturalised), CoI (native and naturalised), ChI (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), CSI (naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/taxon/apni/51442249
Fabaceae,APC,https://id.biodiversity.org.au/taxon/apni/51702961,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51702961,Fabaceae,Lindl.,Familia,accepted,Fabaceae,Magnoliidae,"WA (native and naturalised), CoI (native and naturalised), ChI (native and naturalised), AR (naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/taxon/apni/51702961
Ficus,APC,https://id.biodiversity.org.au/taxon/apni/51439476,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51439476,Ficus,L.,Genus,accepted,Moraceae,Magnoliidae,"WA (native and naturalised), ChI, NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI, NI (doubtfully naturalised), Vic (native and doubtfully naturalised)",https://id.biodiversity.org.au/taxon/apni/51439476
Ficus benjamina,APC,https://id.biodiversity.org.au/node/apni/2916589,accepted,NA,https://id.biodiversity.org.au/node/apni/2916589,Ficus benjamina,L.,Species,accepted,Moraceae,Magnoliidae,"NT, Qld",https://id.biodiversity.org.au/node/apni/2916589
Ficus macrophylla,APC,https://id.biodiversity.org.au/node/apni/2892956,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2892956,Ficus macrophylla,Desf. ex Pers.,Species,accepted,Moraceae,Magnoliidae,"Qld, NSW, LHI, Vic (doubtfully naturalised)",https://id.biodiversity.org.au/node/apni/2892956
Ficus macrophylla f. columnaris,APC,https://id.biodiversity.org.au/node/apni/2900166,accepted,NA,https://id.biodiversity.org.au/node/apni/2900166,Ficus macrophylla f. columnaris,(C.Moore) D.J.Dixon,Forma,accepted,Moraceae,Magnoliidae,LHI,https://id.biodiversity.org.au/node/apni/2900166
Ficus macrophylla f. macrophylla,APC,https://id.biodiversity.org.au/node/apni/2889599,accepted,NA,https://id.biodiversity.org.au/node/apni/2889599,Ficus macrophylla f. macrophylla,NA,Forma,accepted,Moraceae,Magnoliidae,"Qld, NSW, Vic (doubtfully naturalised)",https://id.biodiversity.org.au/node/apni/2889599
Ficus opposita,APC,https://id.biodiversity.org.au/node/apni/2894414,accepted,NA,https://id.biodiversity.org.au/node/apni/2894414,Ficus opposita,Miq.,Species,accepted,Moraceae,Magnoliidae,Qld,https://id.biodiversity.org.au/node/apni/2894414
Ficus rubiginosa,APC,https://id.biodiversity.org.au/node/apni/2894530,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2894530,Ficus rubiginosa,Desf. ex Vent.,Species,accepted,Moraceae,Magnoliidae,"WA (naturalised), Qld, NSW",https://id.biodiversity.org.au/node/apni/2894530
Ficus watkinsiana,APC,https://id.biodiversity.org.au/node/apni/2890445,accepted,NA,https://id.biodiversity.org.au/node/apni/2890445,Ficus watkinsiana,F.M.Bailey,Species,accepted,Moraceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2890445
