checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Eucalyptus simmondsii,Eucalyptus simmondsii,APC list (known names),Eucalyptus nitida,Eucalyptus nitida,Eucalyptus nitida,Myrtaceae,TRUE,Hook.f.,Magnoliidae,Tas,accepted,Species
TRUE,Eucalyptus normantonensis,Eucalyptus normantonensis,APC list (accepted),Eucalyptus normantonensis,Eucalyptus normantonensis,Eucalyptus normantonensis,Myrtaceae,TRUE,Maiden & Cambage,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus obliqua,Eucalyptus obliqua,APC list (accepted),Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua,Myrtaceae,TRUE,L'Hér.,Magnoliidae,"SA, Qld, NSW, Vic, Tas",accepted,Species
TRUE,"Eucalyptus obliqua,",Eucalyptus obliqua,APC list (accepted),Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua,Myrtaceae,TRUE,L'Hér.,Magnoliidae,"SA, Qld, NSW, Vic, Tas",accepted,Species
TRUE,Eucalyptus dongarraensis,Eucalyptus dongarraensis,APC list (known names),Eucalyptus obtusiflora subsp. dongarraensis,Eucalyptus obtusiflora,Eucalyptus obtusiflora,Myrtaceae,TRUE,(Maiden & Blakely) L.A.S.Johnson & K.D.Hill,Magnoliidae,WA,accepted,Subspecies
TRUE,Eucalyptus occidentalis,Eucalyptus occidentalis,APC list (accepted),Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,Myrtaceae,TRUE,Endl.,Magnoliidae,"WA, Vic (naturalised)",accepted,Species
TRUE,Eucalyptus ochrophloia,Eucalyptus ochrophloia,APC list (accepted),Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus odontocarpa,Eucalyptus odontocarpa,APC list (accepted),Eucalyptus odontocarpa,Eucalyptus odontocarpa,Eucalyptus odontocarpa,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus odorata,Eucalyptus odorata,APC list (accepted),Eucalyptus odorata,Eucalyptus odorata,Eucalyptus odorata,Myrtaceae,TRUE,Behr,Magnoliidae,SA,accepted,Species
TRUE,Eucalyptus oleosa,Eucalyptus oleosa,APC list (accepted),Eucalyptus oleosa,Eucalyptus oleosa,Eucalyptus oleosa,Myrtaceae,TRUE,F.Muell. ex Miq.,Magnoliidae,"WA, SA, NSW, Vic",accepted,Species
