aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Melaleuca lanceolata,APC,https://id.biodiversity.org.au/node/apni/2891374,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2891374,Melaleuca lanceolata,Otto,Species,accepted,Myrtaceae,Magnoliidae,"WA (native and naturalised), SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51233655
Melaleuca leucadendra,APC,https://id.biodiversity.org.au/node/apni/2913904,accepted,NA,https://id.biodiversity.org.au/node/apni/2913904,Melaleuca leucadendra,(L.) L.,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51350053
Melaleuca linariifolia,APC,https://id.biodiversity.org.au/node/apni/7698404,accepted,misapplied,https://id.biodiversity.org.au/node/apni/7698404,Melaleuca linariifolia,Sm.,Species,accepted,Myrtaceae,Magnoliidae,"WA (naturalised), Qld, NSW, Vic (doubtfully naturalised)",https://id.biodiversity.org.au/tree/51354547/51233722
Melaleuca nervosa,APC,https://id.biodiversity.org.au/node/apni/2912368,accepted,NA,https://id.biodiversity.org.au/node/apni/2912368,Melaleuca nervosa,(Lindl.) Cheel,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51284451
Melaleuca quinquenervia,APC,https://id.biodiversity.org.au/node/apni/2887514,accepted,NA,https://id.biodiversity.org.au/node/apni/2887514,Melaleuca quinquenervia,(Cav.) S.T.Blake,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51350103
Melaleuca uncinata,APC,https://id.biodiversity.org.au/node/apni/2903945,accepted,misapplied,https://id.biodiversity.org.au/node/apni/2903945,Melaleuca uncinata,R.Br.,Species,accepted,Myrtaceae,Magnoliidae,"WA, SA, Qld, NSW (native and naturalised), Vic",https://id.biodiversity.org.au/tree/51354547/51233710
Melaleuca viridiflora,APC,https://id.biodiversity.org.au/node/apni/2892415,accepted,NA,https://id.biodiversity.org.au/node/apni/2892415,Melaleuca viridiflora,Sol. ex Gaertn.,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51233717
Myoporum insulare,APC,https://id.biodiversity.org.au/node/apni/2904981,accepted,misapplied,https://id.biodiversity.org.au/node/apni/2904981,Myoporum insulare,R.Br.,Species,accepted,Scrophulariaceae,Magnoliidae,"WA, SA, NSW, LHI, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51240145
Myoporum platycarpum,APC,https://id.biodiversity.org.au/node/apni/2901145,accepted,NA,https://id.biodiversity.org.au/node/apni/2901145,Myoporum platycarpum,R.Br.,Species,accepted,Scrophulariaceae,Magnoliidae,"WA, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51240132
Myrtaceae,APC,https://id.biodiversity.org.au/taxon/apni/51350517,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51350517,Myrtaceae,Juss.,Familia,accepted,Myrtaceae,Magnoliidae,"WA (native and naturalised), ChI (native and naturalised), NT, SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51230544
Physalis peruviana,APC,https://id.biodiversity.org.au/node/apni/2897276,accepted,NA,https://id.biodiversity.org.au/node/apni/2897276,Physalis peruviana,L.,Species,accepted,Solanaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), LHI (naturalised), NI (naturalised), Vic (naturalised), Tas (doubtfully naturalised)",https://id.biodiversity.org.au/tree/51354547/51236673
Pittosporaceae,APC,https://id.biodiversity.org.au/node/apni/9041026,accepted,NA,https://id.biodiversity.org.au/node/apni/9041026,Pittosporaceae,R.Br.,Familia,accepted,Pittosporaceae,Magnoliidae,"WA (native and naturalised), ChI, NT, SA (native and naturalised), Qld, NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51242443
Portulacaceae,APC,https://id.biodiversity.org.au/taxon/apni/51291750,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51291750,Portulacaceae,Juss.,Familia,accepted,Portulacaceae,Magnoliidae,"WA (native and naturalised), CoI (naturalised), ChI (native and naturalised), AR (native and naturalised), NT (native and doubtfully naturalised), SA (native and naturalised), Qld (native and naturalised), CSI (naturalised), NSW (native and naturalised), LHI (naturalised), NI (naturalised), ACT, Vic (native and naturalised), Tas (native and naturalised), HI, MI",https://id.biodiversity.org.au/tree/51354547/51235693
Proteaceae,APC,https://id.biodiversity.org.au/taxon/apni/51312310,accepted,orthographic variant,https://id.biodiversity.org.au/taxon/apni/51312310,Proteaceae,Juss.,Familia,accepted,Proteaceae,Magnoliidae,"WA (native and naturalised), NT, SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (naturalised), NI (naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51217035
Pultenaea flexilis,APC,https://id.biodiversity.org.au/node/apni/2916752,accepted,isonym,https://id.biodiversity.org.au/node/apni/2916752,Pultenaea flexilis,Sm.,Species,accepted,Fabaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51226446
Pultenaea tuberculata,APC,https://id.biodiversity.org.au/node/apni/2915405,accepted,NA,https://id.biodiversity.org.au/node/apni/2915405,Pultenaea tuberculata,Pers.,Species,accepted,Fabaceae,Magnoliidae,NSW,https://id.biodiversity.org.au/tree/51354547/51226349
Rubus,APC,https://id.biodiversity.org.au/node/apni/2908000,accepted,NA,https://id.biodiversity.org.au/node/apni/2908000,Rubus,L.,Genus,accepted,Rosaceae,Magnoliidae,"WA (naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), NI (naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51221994
Rubus anglocandicans,APC,https://id.biodiversity.org.au/node/apni/2919192,accepted,NA,https://id.biodiversity.org.au/node/apni/2919192,Rubus anglocandicans,A.Newton,Species,accepted,Rosaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), NI (naturalised), ACT (naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51222035
Rutaceae,APC,https://id.biodiversity.org.au/taxon/apni/51344508,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51344508,Rutaceae,Juss.,Familia,accepted,Rutaceae,Magnoliidae,"WA (native and naturalised), CoI (naturalised), ChI (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT, Vic (native and naturalised), Tas",https://id.biodiversity.org.au/tree/51354547/51221014
Sapindaceae,APC,https://id.biodiversity.org.au/taxon/apni/51311305,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51311305,Sapindaceae,Juss.,Familia,accepted,Sapindaceae,Magnoliidae,"WA (native and naturalised), CoI, ChI (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI, NI, ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51248683
Solanum erianthum,APC,https://id.biodiversity.org.au/node/apni/2917808,accepted,NA,https://id.biodiversity.org.au/node/apni/2917808,Solanum erianthum,D.Don,Species,accepted,Solanaceae,Magnoliidae,"NT (naturalised), Qld (naturalised), NSW (naturalised)",https://id.biodiversity.org.au/tree/51354547/51236762
Solanum lasiophyllum,APC,https://id.biodiversity.org.au/node/apni/2901023,accepted,NA,https://id.biodiversity.org.au/node/apni/2901023,Solanum lasiophyllum,Dunal ex Poir.,Species,accepted,Solanaceae,Magnoliidae,"WA, NT, SA, Qld (formerly naturalised)",https://id.biodiversity.org.au/tree/51354547/51236861
Solanum mauritianum,APC,https://id.biodiversity.org.au/node/apni/2890605,accepted,NA,https://id.biodiversity.org.au/node/apni/2890605,Solanum mauritianum,Scop.,Species,accepted,Solanaceae,Magnoliidae,"SA (naturalised), Qld (naturalised), NSW (naturalised), LHI (naturalised), NI (naturalised), Vic (naturalised)",https://id.biodiversity.org.au/tree/51354547/51236763
Solanum melongena,APC,https://id.biodiversity.org.au/node/apni/3862132,accepted,NA,https://id.biodiversity.org.au/node/apni/3862132,Solanum melongena,L.,Species,accepted,Solanaceae,Magnoliidae,SA (doubtfully naturalised),https://id.biodiversity.org.au/tree/51354547/51236714
Solanum nummularium,APC,https://id.biodiversity.org.au/node/apni/2906764,accepted,NA,https://id.biodiversity.org.au/node/apni/2906764,Solanum nummularium,S.Moore,Species,accepted,Solanaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51236727
Solanum petrophilum,APC,https://id.biodiversity.org.au/node/apni/2903818,accepted,misapplied | pro parte misapplied,https://id.biodiversity.org.au/node/apni/2903818,Solanum petrophilum,F.Muell.,Species,accepted,Solanaceae,Magnoliidae,"WA, SA, NSW",https://id.biodiversity.org.au/tree/51354547/51236870
