taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Schedotrioza tasmaniensis,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva gall-inducer, sap-sucker",NA,NA,NA,TAS,NA,NA,NA,NA,NA,NA,Eucalyptus amygdalina,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Froggatt, W. W. (1903). Australian Psyllidae. Part III. Proceedings of the Linnean Society of New South Wales, 28, 315-337; Tuthill, L. D. & Taylor, K. L. (1955). Australian genera of the Family Psyllidae (Hemiptera, Homoptera). Australian Journal of Zoology, 3, 227-257; Taylor, G. S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera: Psylloidea: Triozidae). Invertebrate Taxonomy, 4, 721-751."
Glycaspis (Glycaspis) australoraria,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,"NSW, SA",NA,NA,NA,NA,NA,NA,"Eucalyptus amplifolia, Eucalyptus punctata",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp."
Blastopsylla adnatariae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larvae in abandoned lerps, sap-sucker",NA,NA,NA,SA,NA,NA,NA,NA,NA,NA,"Eucalyptus albens, Eucalyptus lehmannii, Eucalyptus leucoxylon, Eucalyptus odorata",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30; Maryanska-Nadachowska, A., Taylor, G. S. & Kuznetsova, V. A. (2001). Meiotic karyotypes and structure of testes in males of 17 species of Psyllidae: Spondyliaspidinae (Hemiptera: Psylloidea) from Australia. Australian Journal of Entomology, 40, 349-356."
Anoeconeossa morgani,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,SA,NA,NA,NA,NA,NA,NA,"Eucalyptus albens, Eucalyptus cosmophylla",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127."
Glycaspis (Glycaspis) quornensis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,"SA, VIC",NA,NA,NA,NA,NA,NA,Eucalyptus albens,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Phyllolyma mituliformis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,NSW,NA,NA,NA,NA,NA,NA,Eucalyptus albens,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1990). The Tribe Ctenarytainini (Hemiptera: Psylloidea): a key to known Australian genera, with new species and two new genera. Invertebrate Taxonomy, 4, 95-121."
Glycaspis (Glycaspis) wondjinae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"NT, QLD",NA,NA,NA,NA,NA,NA,Eucalyptus alba,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24; Moore, K. M. (1989). A new species of Glycaspis Homoptera: Psyllidae) and additional information on host associations. Journal of the Australian Entomological Society, 28, 81-86."
Glycaspis (Synglycaspis) conflecta,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,NSW,NA,NA,NA,NA,NA,NA,"Eucalyptus agglomerata, Eucalyptus camfieldii, Eucalyptus eugenioides, Eucalyptus ?oblonga, Eucalyptus rossii",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184; Campbell, K. G. & Moore, K. M. (1988). Two new species of Glycaspis (Homoptera: Spondyliaspididae) from potentially endangered Eucalyptus species, and one from E. stricta. Proceedings of the Linnean Society of New South Wales, 110, 11-17."
Glycaspis (Synglycaspis) encystis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva gall-inducer, sap-sucker",NA,NA,NA,"VIC, NSW",NA,NA,NA,NA,NA,NA,Eucalyptus agglomerata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Synglycaspis) mactans,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"NSW, QLD",NA,NA,NA,NA,NA,NA,"Eucalyptus acmenoides, Eucalyptus umbra",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184; Moore, K. M. (1989). A new species of Glycaspis Homoptera: Psyllidae) and additional information on host associations. Journal of the Australian Entomological Society, 28, 81-86."
Blepharocosta cloezianae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,"Eucalyptus acmenoides, Eucalyptus cloeziana",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1992). Blepharocosta, a new genus of Australian Spondyliaspidinae (Hemiptera: Psylloidea). Invertebrate Taxonomy, 6, 131-141."
Glycaspis (Synglycaspis) amplificata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva gall-inducer, sap-sucker",NA,NA,NA,NSW,NA,NA,NA,NA,NA,NA,Eucalyptus acmenoides,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) minuscula,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,VIC,NA,NA,NA,NA,NA,NA,"Eucalyptus ?viminalis, Eucalyptus rubida",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24; Moore, K. M. (1988). A new species of Glycaspis (Homoptera: Spondyliaspididae) and some new host records. Proceedings of the Linnean Society of New South Wales, 110, 25-26."
Glycaspis (Glycaspis) wagaitjae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,NT,NA,NA,NA,NA,NA,NA,Eucalyptus ?tetrodonta,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) amnicola,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms oval lerps, sap-sucker",NA,NA,NA,"SA, VIC",NA,NA,NA,NA,NA,NA,Eucalyptus ?tereticornis,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp."
Glycaspis (Glycaspis) froggatti,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"NT, WA",NA,NA,NA,NA,NA,NA,Eucalyptus ?tectifera,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1978). Further information on Glycaspis species (Homoptera: Psyllidae) associated with Eucalyptus camaldulensis, and on other Glycaspis species. Journal of the Australian Entomological Society, 17, 257-260; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184."
Glycaspis (Synglycaspis) occulta,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva gall-inducer, sap-sucker",NA,NA,NA,TAS,NA,NA,NA,NA,NA,NA,Eucalyptus ?simmondsii,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Glycaspis (Synglycaspis) obvelata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva gall-inducer, sap-sucker",NA,NA,NA,"NSW, TAS, VIC",NA,NA,NA,NA,NA,NA,Eucalyptus ?sieberi,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Anoeconeossa trivittata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,"Eucalyptus ?roycei, Eucalyptus ?eudesmioides",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127."
Glycaspis (Glycaspis) locaridensis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms oval lerps, sap-sucker",NA,NA,NA,"NSW, QLD",NA,NA,NA,NA,NA,NA,Eucalyptus ?populnea,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Blastopsylla occidentalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,SA,NA,NA,NA,NA,NA,NA,"Eucalyptus ?platypus, Eucalyptus oleosa",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30; Burckhardt, D., Santana, D. L. Q., Terra, A. L., de Andrade, F. M., Penteado, S. R. C., Iede, E. T. & Morey, C. S. (1999). Psyllid pests (Hemiptera, Psylloidea) in South American eucalypt plantations. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 72, 1-10; Burckhardt, D. & Elgueta, M. (2000). Blastopsylla occidentalis Taylor (Hemiptera: Psyllidae), a new introduced eucalypt pest in Chile. Revista Chilena de Entomología, 26, 57-61; Beardsley, J. W. & Uchida, G. K. (2002). Blastopsylla occidentalis Taylor (Homoptera: Psyllidae), a new pest of Eucalyptus in Hawaii. Proceedings of the Hawaiian Entomological Society, 35, 155."
Glycaspis (Synglycaspis) temenicola,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,NSW,NA,NA,NA,NA,NA,NA,Eucalyptus ?pauciflora,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) rivalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus ?panda,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184."
Glycaspis (Glycaspis) rivalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,VIC,NA,NA,NA,NA,NA,NA,Eucalyptus ?ovata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184."
Glycaspis (Glycaspis) taylori,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"VIC, TAS",NA,NA,NA,NA,NA,NA,Eucalyptus ?ovata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) eucalypti,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,TAS,NA,NA,NA,NA,NA,NA,"Eucalyptus ?obliqua, Eucalyptus ?ovata, Eucalyptus rodwayi",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Dobson, T. (1851). On Laap, or Lerp the cup-like coverings of Psyllidae found on the leaves of certain Eucalypti. Papers and Proceedings of the Royal Society of Van Diemen's Land, 1, 235-241; Froggatt, W. W. (1900). Australian Psyllidae. Proceedings of the Linnean Society of New South Wales, 25, 250-302; Taylor, K. L. (1960). Additional information on the Australian genera of the Family Psyllidae (Hemiptera: Homoptera). Australian Journal of Zoology, 8, 383-391; Moore, K. M. (1961). Observations on some Australian forest insects. 7. The significance of the Glycaspis spp. (Hemiptera: Homoptera, Psyllidae) associations with their Eucalyptus spp. hosts; erection of a new subgenus and descriptions of thirty-eight new species of Glycaspis. Proceedings of the Linnean Society of New South Wales, 86, 127-167; Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Glycaspis (Glycaspis) retrusa,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,NT,NA,NA,NA,NA,NA,NA,"Eucalyptus ?microtheca, Eucalyptus ?tectifica",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1970). Observations on some Australian forest insects. 32. Further notes on Glycaspis spp. (Hemiptera: Psyllidae). Journal of the Australian Entomological Society, 7, 48-49."
Blastopsylla occidentalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus ?microneura,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30; Burckhardt, D., Santana, D. L. Q., Terra, A. L., de Andrade, F. M., Penteado, S. R. C., Iede, E. T. & Morey, C. S. (1999). Psyllid pests (Hemiptera, Psylloidea) in South American eucalypt plantations. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 72, 1-10; Burckhardt, D. & Elgueta, M. (2000). Blastopsylla occidentalis Taylor (Hemiptera: Psyllidae), a new introduced eucalypt pest in Chile. Revista Chilena de Entomología, 26, 57-61; Beardsley, J. W. & Uchida, G. K. (2002). Blastopsylla occidentalis Taylor (Homoptera: Psyllidae), a new pest of Eucalyptus in Hawaii. Proceedings of the Hawaiian Entomological Society, 35, 155."
Glycaspis (Glycaspis) buxalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus ?melanophloia,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
